SONG	confidence	% bars in 4	category	beats score	downbeats score	backup beats score	backup downbeats score	BPM	Time Signature	Genre	Metadata											
0019_beautiful	2.659424003	100	A	99.12854031	99.12280702	99.13043478	0	101	4|4	Hip-Hop												
0020_becauseofyou	3.081809593	100	A	99.13294798	100	0	0	110	4|4	R&B												
0021_better	1.712465125	97.56097561	B	98.35728953	62.80991736	92.3946557	63.2231405	98	4|4	Rock	Some											
0022_betteroffalone	2.369192137	100	A	100	100	99.44134078	100	137	4|4	Dance/Electronic												
0023_bewareoftheboys	2.74146428	100	A	88.97959184	88.52459016	7.346938776	6.557377049	98	4|4	World												
0024_billionaire	1.811932851	100	A	78.24675325	80.51948052	96.42276423	97.4025974	87	4|4	Hip-Hop												
0025_blackandtan	1.54961341	100	A	87.63250883	87.32394366	98.40707965	97.18309859	114	4|4	Dubstep												
0026_blackandyellow	2.398688152	100	A	94.27312775	94.73684211	96.38826185	96.3963964	82	4|4	Hip-Hop												
0027_blackened	1.307898703	73.25102881	C	29.72222222	25.31120332	21.20253165	2.53164557	190	4|4	Metal	Some											
0028_blackmagic	0.8284032997	93.02325581	C	1.455604076	0	68.47826087	43.47826087	185	4|4	Metal	Some											
0029_bluesky	1.816817798	98.36065574	B	98.15384615	19.4214876	99.79550102	82.11382114	94	4|4	Southern Rock	Some											
0030_bodymovin	0.9257325362	100	A	0	0	97.12230216	98.55072464	102	4|4	Hip-Hop												
0031_bodytobody	2.513240001	100	A	99.16666667	98.33333333	96.63157895	97.45762712	113	4|4	Dance/Electronic												
0032_boomboompow	2.683745643	100	A	97.83281734	96.2962963	98.14814815	0	130	4|4	Hip-Hop												
0033_bornthisway	2.492183718	100	A	93.13543599	93.33333333	87.00092851	87.03703704	124	4|4	Dance/Electronic												
0034_bornthiswaydc	2.040133746	100	A	97.27272727	96.38554217	94.38543247	95.18072289	124	4|4	Dance/Electronic												
0035_boyfriend	3.710246561	100	A	99.63235294	98.52941176	0	0	97	4|4	Pop												
0036_breakingthegirl	1.690959991	0	D	0	98.63013699	97.26651481	0	89	6|8	Alternative												
0037_breakyourheart	2.210350349	100	A	97.2	96.82539683	93.12977099	0	122	4|4	Pop												
0038_bringmetolife	1.688162939	98.93617021	B	99.18699187	77.41935484	98.6431479	97.84946237	95	4|4	Rock												
0039_bulletproof	2.176451507	100	A	95.6	95.23809524	0	0	123	4|4	Pop												
0040_bustamove	2.595564095	100	A	97.57785467	97.22222222	98.57904085	0	118	4|4	Hip-Hop												
0041_calabria	2.132936252	100	A	98.75389408	98.75	65	70	126	4|4	Reggaeton												
0042_callme	2.69597279	98.48484848	B	99.23809524	83.33333333	97.39776952	0	143	4|4	Rock	Some											
0043_callmemaybe	2.764991181	100	A	97.39583333	97.91666667	0.2604166667	1.041666667	120	4|4	Pop												
0044_cameraeye	1.645587765	89.40217391	C	68.52941176	31.05882353	33.94919169	5.555555556	166	4|4	Prog	Some											
0045_cantgetyou	2.406837488	100	A	98.55595668	98.55072464	0	0	126	4|4	Pop												
0046_castlesmadeofsand	1.163275745	98.41269841	B	56.2962963	28.88888889	57.91366906	11.42857143	94	4|4	Classic Rock												
0047_chinacatsunflower	1.504821891	100	A	80.96514745	39.36170213	86.17449664	77.65957447	98	4|4	Classic Rock												
0048_chingaling	2.523853809	100	A	98.96551724	98.61111111	96.37305699	96.52777778	102	4|4	Hip-Hop												
0049_closer	2.730374028	100	A	92.65734266	94.44444444	56.16438356	8.108108108	126	4|4	R&B												
0050_clubcanthandleme	2.21282543	100	A	92.61538462	93.82716049	93.86503067	95.12195122	128	4|4	Pop												
0051_cmonnrideit	2.135856848	100	A	0	0	99.42196532	98.85057471	136	4|4	Hip-Hop												
0052_collector	1.25995356	71.28712871	C	0	0	99.76635514	21.4953271	138	4|4	Rock	Some											
0053_commander	2.562168216	100	A	95.89552239	95.52238806	97.29206963	98.4496124	125	4|4	Pop												
0054_conceited	3.290817405	100	A	95.73643411	95.38461538	96.12403101	0	99	4|4	Hip-Hop												
0055_constantmotion	1.127572534	92.35880399	C	65.91276252	18.70967742	85.24193548	73.5483871	180	4|4	Prog	Some											
0056_control	2.737705707	100	A	97.64705882	96.875	97.65625	96.875	120	4|4	Pop												
0057_crankthat	1.486019558	100	A	98.36065574	98.7012987	98.06451613	97.43589744	140	4|4	Hip-Hop												
0058_criticalacclaim	0.8633567668	75.14792899	C	86.65730337	62.35955056	5.333333333	8.383233533	138	4|4	Metal	Some											
0059_cupidshuffle	2.941380619	100	A	98.86363636	0	99.14772727	100	144	4|4	Hip-Hop												7|4
0060_cuzurnext	-0.09012629219	95.74468085	B	90.56122449	1.020408163	81.10964333	57.36842105	120	4|4	Metal	Some											
0061_dabutt	1.828224171	100	A	0	0	98.49906191	0	97	4|4	Hip-Hop												
0062_dance	2.647602486	100	A	94.8	96.77419355	99.17184265	99.16666667	113	4|4	Dance/Electronic												
0063_daysgoby	2.806598519	100	A	99.57081545	0	99.14529915	0	127	4|4	Dance/Electronic												
0064_dead	2.048344891	32.72727273	D	98.25174825	19.44444444	97.18804921	18.57142857	120	4|4	Alternative	Some											
0065_deadandbloated	1.788322954	68.57142857	C	97.82608696	0	0	0	61	4|4	Alternative	Some											
0066_decentdaysandnights	1.822251406	75.22123894	C	99.30715935	24.54545455	99.53703704	14.54545455	172	4|4	Punk	Some											
0067_deep	0.6658038024	0	D	89.42976356	0	94.42896936	0	165	3|4	Grunge												
0068_devilsisland	0.9681164296	100	A	80.13937282	16.27906977	80.83140878	19.44444444	167	4|4	Metal	Some											
0069_digginmedown	1.38482872	97.57575758	B	69.74281392	33.33333333	89.3100834	52.27963526	110	4|4	Metal	Some											
0070_dipitlow	3.171948959	100	A	0	0	97.65807963	98.13084112	84	4|4	R&B												
0071_dirtypool	2.967983349	2.016129032	D	0.5442176871	97.56097561	93.26145553	0	152	3|4	Blues												
0072_discoinferno	2.46492259	100	A	97.96610169	0	97.28353141	0	130	4|4	Funk/Disco												
0073_disturbia	2.626478603	100	A	99.25373134	100	97.79411765	0	125	4|4	Pop												
0074_djgotusfallininlove	2.710446448	100	A	98.54014599	98.52941176	96.70932358	97.79411765	120	4|4	Pop												
0075_dontcha	2.729171012	100	A	96.80851064	97.14285714	95.13888889	94.44444444	120	4|4	R&B												
0076_donteasemein	2.022963848	100	A	96.96312364	45.45454545	95.78059072	0	148	4|4	Classic Rock	Some											
0077_dontsweat	2.521635102	100	A	92.22222222	0	92.75362319	0	106	4|4	Hip-Hop												
0078_donttouchme	2.33627786	100	A	95.37953795	0	88.64027539	95.89041096	113	4|4	Hip-Hop												
0079_dontyouwantme	3.07772604	100	A	99.30232558	100	0	0	117	4|4	Dance/Electronic												
0080_down	2.822194725	100	A	99.35064935	0	99.6742671	100	132	4|4	Pop												
0081_downonme	2.579919574	100	A	86.79245283	84.90566038	98.10874704	98.11320755	80	4|4	Hip-Hop												
0082_dragosteadintei	2.706204254	100	A	95.73770492	96.05263158	94.80519481	0	130	4|4	Pop												
0083_dragthewaters	1.167493611	94.80519481	C	57.92880259	20.64516129	89.82084691	0.974025974	126	4|4	Metal	Some											
0084_dropitlikeitshot	3.787840536	100	A	90.32258065	90.32258065	90.12096774	89.51612903	92	4|4	Hip-Hop												
0085_electricboogie	3.250076171	100	A	97.89473684	97.18309859	98.06678383	97.18309859	108	4|4	Reggaeton												
0086_escapade	2.589379381	100	A	97.71986971	97.4025974	93.48914858	88	115	4|4	Pop												
0087_evacuate	2.725818607	100	A	98.36734694	98.36065574	95.93495935	0	127	4|4	Pop												
0088_everybody	2.887578847	100	A	99.66442953	100	90.72512648	91.21621622	108	4|4	Pop												
0089_fatbottomedgirls	1.390836266	97.18309859	B	94.90333919	87.32394366	97.54385965	69.44444444	86	4|4	Classic Rock	Some											
0090_fearofthedarklive	0.8883138743	97.86096257	B	37.82857143	11.9266055	12.53333333	7.978723404	100	4|4	Metal	Some											
0091_fellonblackdays	2.098373099	36.66666667	D	72.84482759	0	95.3613808	2.631578947	101	6|4	Grunge	Some											
0092_fergalicious	3.151253271	100	A	98.04560261	97.4025974	96.77419355	97.43589744	129	4|4	Pop												
0093_fireburning	2.534784329	100	A	97.99331104	97.33333333	97.319933	96.66666667	123	4|4	Reggaeton												
0094_fireflies	2.749352914	100	A	96.15384615	96.47058824	92	91.76470588	90	4|4	Pop												
0095_firework	2.558055666	100	A	97.91666667	96.42857143	98.80774963	98.80952381	124	4|4	Pop												
0096_fivemagics	0.8041682491	85.23809524	C	30.35897436	4.098360656	30.60046189	29.04761905	174	4|4	Metal	Some											
0097_flathead	1.685722226	84.69945355	C	99.42196532	51.68539326	99.12917271	72.62569832	210	4|4	Alternative	Some											
0098_floods	1.021881993	97.70642202	B	70.62211982	18.05555556	52.27995758	13.19148936	120	4|4	Metal	Some											
0099_forgetyou	1.896580843	100	A	99.11764706	0	80.11695906	0	128	4|4	R&B												
0100_futureperfecttense	1.25718332	57.85123967	C	35.96638655	12.75167785	0	0	120	4|4	Indie Rock	Some											
0101_galang	1.830327347	100	A	94.28571429	0	89.42917548	96.61016949	101	4|4	Reggaeton												
0102_gangstaluv	3.277882773	100	A	99.26108374	99.00990099	98.89025894	99.00990099	102	4|4	Hip-Hop												
0103_gasoline	1.758151895	95.28301887	B	93.91100703	55.14018692	93.7573616	50	93	4|4	Rock	Some											
0104_getbusy	1.960245025	100	A	95	0	99.62476548	98.4962406	100	4|4	Reggaeton												
0105_getdownonit	3.149391521	100	A	97.2972973	97.2972973	98.62778731	97.94520548	111	4|4	Funk/Disco												
0106_getitshawty	2.822652148	100	A	96.97986577	96	96.02649007	0	128	4|4	R&B												
0107_getlow	2.592409954	100	A	97.41100324	98.7012987	0	0	101	4|4	Hip-Hop												
0108_getup	2.521334545	100	A	93.92857143	94.28571429	97.22735675	97.03703704	108	4|4	Funk/Disco												
0109_geturfreakon	2.938275575	100	A	0	0	93.80165289	93.44262295	89	4|4	Hip-Hop												
0110_girlsandboys	2.788974103	100	A	97.93814433	97.26027397	98.42657343	98.6013986	120	4|4	Pop												
0111_girlsonfilm	2.590255831	97.4137931	B	95.68034557	55.26315789	97.4137931	0	131	4|4	Pop	Some											
0112_giveitup	2.402785259	100	A	100	100	94.67455621	93.02325581	140	4|4	Dance/Electronic												
0113_giveituptome	1.995065907	100	A	0	0	97.72256729	96.72131148	96	4|4	Reggaeton												
0114_givemeeverything	2.091450967	100	A	98.53372434	98.82352941	98.24561404	97.6744186	129	4|4	Pop												
0115_gonnamakeyousweat	2.785793869	100	A	99.66777409	100	98.01324503	100	114	4|4	Pop												
0116_goodies	3.876807246	100	A	93.15068493	94.44444444	94.54545455	3.703703704	101	4|4	R&B												
0117_goodmorningblackfriday	0.8295581849	93.48659004	C	40.13900956	23.34494774	18.91891892	12.35521236	175	4|4	Metal	Some											
0118_grenade	2.210797857	100	A	98.80952381	98.41269841	86.92152918	92.74193548	110	4|4	Pop												
0119_gunpowderandlead	1.593704016	97.22222222	B	62.02090592	33.33333333	93.36823735	89.43661972	94	4|4	Country	Some											
0120_hallowedbethyname	0.9095667717	99.08675799	B	43.97727273	15	56.46992054	31.13636364	120	4|4	Metal	Some											
0121_hammersmashedface	0.5233516229	98.11320755	B	3.872053872	0	40.85510689	14.42307692	220	4|4	Metal	Some											
0122_heardemall	2.098162548	100	A	0	0	0	0	98	4|4	Pop												
0123_heavyduty	1.631930815	96.66666667	B	97.35744089	93.8547486	96.11111111	52.22222222	73	4|4	Metal	Some											
0124_hello	2.38498015	100	A	99.15014164	100	99.43502825	100	128	4|4	Dance/Electronic												
0125_hellogoodmorning	3.134628726	100	A	99.31271478	100	99.31034483	100	104	4|4	Hip-Hop												
0126_heymami	3.009381809	100	A	97.95918367	96.77419355	98.36065574	0	133	4|4	Hip-Hop												
0127_hollabackgirl	2.282134154	100	A	96.25468165	96.96969697	97.66990291	98.4496124	110	4|4	Pop												
0128_homecoming	1.38779402	99.67532468	B	38.29787234	22.22222222	46.90953745	31.37254902	124	4|4	Rock	Some											
0129_hotinherre	3.202594844	100	A	99.23076923	98.46153846	98.47328244	96.96969697	107	4|4	Hip-Hop												
0130_hotstuff	2.945623609	100	A	97.9020979	98.5915493	97.9020979	0	120	4|4	Funk/Disco												
0131_iamthebest	2.077379315	100	A	98.38709677	97.43589744	98.70967742	0	128	4|4	Pop												
0132_iceicebaby	2.724267381	100	A	99.65156794	98.61111111	100	0	115	4|4	Hip-Hop												
0133_ifeellove	2.971052809	100	A	97.06840391	97.4025974	94.33962264	95	127	4|4	Funk/Disco												
0134_igotmine	1.874943959	87.5	C	87.39903069	53.20512821	89.64401295	78.20512821	155	4|4	Rock	Some											
0135_igottafeeling	2.71872498	100	A	95.32019704	95.09803922	95.56650246	0	128	4|4	Pop												
0136_igotyoudancing	2.568745239	100	A	96.3898917	97.10144928	97.84172662	97.14285714	125	4|4	Hip-Hop												
0137_iknowyouwantme	2.567878519	100	A	98.59649123	98.5915493	93.95973154	92.10526316	127	4|4	Reggaeton												
0138_ilikeit	2.504272809	100	A	97.83950617	97.5308642	95.75757576	95.23809524	129	4|4	Pop												
0139_imcomingout	2.317699461	100	A	95.72953737	0	99.25925926	98.51851852	110	4|4	Funk/Disco												
0140_impacto	2.238076553	100	A	99.20948617	0	96.03960396	95.23809524	100	4|4	Reggaeton												
0141_indaclub	2.284241617	100	A	0	0	99.78768577	0	90	4|4	Hip-Hop												
0142_indestructible	1.086314158	81.11111111	C	87.39184178	64.28571429	95.0617284	42	90	4|4	Metal	Some											
0143_informer	2.544290627	100	A	96.05263158	94.73684211	97.72209567	98.16513761	98	4|4	Reggaeton												
0144_ishotthesheriff	1.94575752	93.5483871	C	98.40848806	20.43010753	94.82071713	19.89247312	98	4|4	Reggaeton	Some											
0145_iwantyouback	1.488696682	93.82716049	C	98.78787879	43.20987654	90.4400607	0	99	4|4	Pop	Some											
0146_iwillsurvive	2.615002861	100	A	99	0	0	0	116	4|4	Funk/Disco												
0147_iwishforyou	2.57074298	100	A	98.65319865	100	99.32885906	0	119	4|4	Pop												
0148_jesusofsuburbia	1.221221304	94.69496021	C	52.42839352	23.88059701	57.45085606	23.79746835	145	4|4	Rock	Some											
0149_johnnyguitar	1.51729841	97.22222222	B	99.51923077	50.47619048	99.0430622	49.05660377	143	4|4	Grunge	Some											
0150_justdance	3.03148682	100	A	98.87218045	100	96.95238095	97.72727273	119	4|4	Pop												
0151_kingofdancehall	2.3455298	100	A	99.45355191	0	0	0	105	4|4	Reggaeton												
0152_kingofrock	2.214359653	100	A	99.80582524	0	99.80563654	0	98	4|4	Hip-Hop												
0153_lalaland	2.20762368	100	A	97.1563981	98.11320755	93.39853301	92.30769231	85	4|4	Pop												
0154_lalaloveyou	2.661468252	95.69892473	B	96.16519174	57.14285714	0	9.090909091	124	4|4	Alternative	Some											
0155_lapdance	2.508213742	100	A	96.77419355	96.77419355	97.49478079	96.66666667	102	4|4	Hip-Hop												
0156_lastnight	2.783285177	100	A	94.28571429	94.28571429	0	0	121	4|4	R&B												
0157_leanwitit	2.347260435	100	A	95.16129032	93.61702128	0	0	76	4|4	Hip-Hop												
0158_letitrock	1.989899695	100	A	96.2585034	95.89041096	97.78534923	97.94520548	113	4|4	Hip-Hop												
0159_letthemusicplay	2.295392485	100	A	99.10979228	98.80952381	98.66270431	98.80952381	115	4|4	Pop												
0160_likeag6	1.316106568	100	A	38.1097561	37.80487805	58.53658537	59.75609756	125	4|4	Pop												
0161_limelight	1.365399663	45.33333333	D	34.09490334	8.108108108	0.8976660682	5.405405405	130	4|4	Prog	Some											
0162_lobotomy	1.192406088	85.29411765	C	62.85714286	26.61870504	65.3907496	2.547770701	136	4|4	Rock	Some											
0163_lovegame	3.299207079	98.96907216	B	93.2642487	94.73684211	95.84954604	94.73684211	105	4|4	Pop												
0164_low	3.219590437	100	A	97.94721408	98.82352941	99.41520468	100	128	4|4	Hip-Hop												
0165_lucretia	1.187798267	100	A	93.48958333	66.66666667	63.60052562	14.21052632	99	4|4	Metal	Some											
0166_macarena	2.597166086	100	A	98.8372093	98.4375	98.25242718	97.65625	103	4|4	Pop												
0167_makesomenoise	2.059061257	100	A	98.55491329	98.8372093	98.6975398	98.25581395	98	4|4	Hip-Hop												
0168_maneater	2.632394638	100	A	99.63898917	100	99.28057554	0	130	4|4	Pop												
0169_manicdepression	0.9048787978	0	D	81.21546961	0	0.2770083102	54.44444444	150	3|4	Classic Rock												
0170_manyshadesofblack	1.39489234	0	D	1.795332136	26.24113475	62.73584906	0.7092198582	94	6|8	Rock												
0171_marchofthepigs	0.7244922068	56.25	C	98.34254144	20.83333333	98.34710744	2.083333333	135	4|4	Rock	Some											
0172_marrythenight	2.439191612	100	A	95.04373178	97.6744186	97.71428571	97.72727273	131	4|4	Pop												
0173_massiveattack	1.829127272	100	A	1.538461538	2.040816327	88.68894602	0	85	4|4	Hip-Hop												
0174_maythisbelove	1.710711415	100	A	84.96732026	83.11688312	79.76782753	29.8013245	94	4|4	Classic Rock	Some											
0175_meddle	1.408902059	100	A	0	0	96.16368286	96.93877551	85	4|4	Pop												
0176_megasus	1.100481338	99.28057554	B	94.5553539	83.33333333	1.270417423	0	150	4|4	Metal	Some											
0177_milkshake	2.602788519	100	A	99.66555184	98.66666667	99.33333333	97.36842105	112	4|4	R&B												
0178_mountainman	1.072883513	95.3125	B	87.08414873	64.28571429	10.56751468	11.02362205	77	4|4	Rock	Some											
0179_moveslikejagger	2.443295838	100	A	98.46547315	97.95918367	98.46938776	0	127	4|4	Pop												
0180_moveyabody	3.016450366	100	A	92.22222222	0	91.24087591	0	121	4|4	Reggaeton												
0181_mrsaxobeat	2.64613862	100	A	99.44289694	98.88888889	97.90794979	97.22222222	127	4|4	Dance/Electronic												
0182_mycurse	1.210659298	16.17021277	D	91.184573	10.38961039	0	46.28099174	180	4|4	Metal	Some											
0183_mynameisjonas	1.023363998	0	D	69.25566343	0	0.4854368932	93.2038835	94	6|8	Alternative	Some											
0184_myprerogative	2.779140053	100	A	97.23183391	97.22222222	94.63087248	94.59459459	110	4|4	R&B												
0185_nasty	2.904446008	100	A	97.5	97.14285714	0	0	104	4|4	Pop												
0186_nearlylostyou	1.435760933	97.11538462	B	97.57869249	55.33980583	96.71132765	0	100	4|4	Grunge	Some											
0187_nevergonnagiveyouup	3.040547618	100	A	98.40909091	98.18181818	0.6896551724	0	113	4|4	Dance/Electronic												
0188_neverletmedownagain	2.412743162	100	A	98.38383838	98.37398374	95.75328615	95.93495935	105	4|4	Dance/Electronic												
0189_neversaynever	2.982363883	100	A	99.57081545	100	0	0	97	4|4	Pop												
0190_newfang	1.417473743	100	A	94.37585734	34.7826087	42.19178082	33.69565217	94	4|4	Rock	Some											
0191_newslang	2.535721934	100	A	98.58585859	23.88059701	0	0	130	4|4	Indie Rock	Some											
0192_nirvana	1.938755717	0	D	0	88.7755102	0.272851296	15.81632653	71	6|8	Indie Rock												
0193_no13baby	1.942108786	100	A	96.38297872	40.15748032	0	8.974358974	122	4|4	Alternative	Some											
0194_nomoretears	1.339558045	96.06741573	B	82.0855615	46.52406417	82.40429819	46.23655914	104	4|4	Metal	Some											
0195_nookie	2.107900894	98.96907216	B	53.33333333	52.57731959	99.35815148	52.06185567	98	4|4	Metal	Some											
0196_nosleeptillbrooklyn	2.168020234	100	A	99.27007299	100	99.26918392	99.50980392	97	4|4	Hip-Hop												
0197_nothinonyou	2.780329475	100	A	99.33110368	100	99.49748744	99.32432432	104	4|4	R&B												
0198_nowthatwefoundlove	2.268185835	100	A	100	100	98.15157116	97.79411765	120	4|4	Hip-Hop												
0199_numberofthebeast2	0.8950331895	79.54545455	C	77.01149425	11.39240506	52.09205021	0.8403361345	200	4|4	Metal	Some											
0200_oceansize	0.9784187348	98	B	83.72670807	11.5	76.48514851	32.67326733	95	4|4	Alternative	Some											
0201_oh	2.51444606	100	A	98.87640449	98.87640449	98.87640449	0	144	4|4	Pop												
0202_omg	2.919331137	100	A	97.83197832	97.82608696	97.83783784	0	130	4|4	R&B												
0203_onerainywish	1.157406144	30.27522936	D	72.85945073	20.64516129	80.86419753	19.75308642	170	6|8	Classic Rock	Some											
0204_onlyamemory	2.059278089	98.48484848	B	96.692607	95.38461538	93.85365854	73.07692308	132	4|4	Rock	Some											
0205_onlygirlintheworld	2.698205035	100	A	99.7005988	98.80952381	96.09022556	96.38554217	126	4|4	Pop												
0206_onthefloor	2.412446827	100	A	100	100	99.71305595	99.42528736	130	4|4	Dance/Electronic												
0207_oopsohmy	2.000631864	100	A	0	32.60869565	97.52066116	97.8021978	79	4|4	R&B												
0208_opp	2.836527273	100	A	98.90909091	100	97.81420765	0	98	4|4	Hip-Hop												
0209_paparazzi	2.284280003	100	A	99.75	100	98.87359199	99	115	4|4	Dance/Electronic												
0210_partyrockanthem	2.324929896	100	A	99.40652819	100	97.63313609	100	130	4|4	Hip-Hop												
0211_peaceofmind	1.691571575	98.85057471	B	94.84978541	70.28571429	0.2141327623	0	128	4|4	Classic Rock	Some											
0212_peoplegotalotofnerve	2.241535691	97.59036145	B	94.39528024	82.35294118	93.10344828	0	136	4|4	Country	Some											
0213_personaljesus	2.630262051	100	A	100	100	99.05956113	0	130	4|4	Dance/Electronic												
0214_planetrock	2.667404682	100	A	98.97959184	100	96.07843137	0	126	4|4	Hip-Hop												
0215_pointofknowreturn	1.267494071	83.78378378	C	73.31730769	30.27522936	2.888086643	0	145	4|4	Prog	Some											
0216_poison	2.360894623	100	A	99.27007299	100	95.61243144	95.58823529	112	4|4	R&B												
0217_pokerface	2.76797261	100	A	98.54014599	98.52941176	93.43065693	0	119	4|4	Dance/Electronic												
0218_policyoftruth	2.553858971	100	A	99.47183099	0	99.91142604	99.64539007	113	4|4	Dance/Electronic												
0219_pondereplay	2.163629587	100	A	0	0	99.77827051	99.10714286	99	4|4	Dance/Electronic												
0220_promiscuous	2.112868422	100	A	0	0	99.66555184	98.66666667	114	4|4	R&B												
0221_reach	2.250956009	100	A	19.55719557	98.50746269	0	0	99	4|4	Hip-Hop												
0222_realgoodlooking	1.360234571	97.07602339	B	85.4676259	51.72413793	3.304597701	0	124	4|4	Rock	Some											
0223_reallove	2.430822434	100	A	95.92592593	95.58823529	100	99.23076923	109	4|4	Pop												
0224_redbarchetta	1.887908234	94.73684211	C	79.65179543	30	33.54700855	16.23931624	143	4|4	Prog	Some											
0225_relax	2.696340389	100	A	100	100	0	0	115	4|4	Dance/Electronic												
0226_rendezvu	2.100454592	100	A	95.03816794	95.45454545	0	0	125	4|4	Dance/Electronic												
0227_replay	3.605070635	100	A	97.5	95	1.25	0	91	4|4	Pop												
0228_ridethelightning	1.091642252	98.79518072	B	73.22515213	41.93548387	1.06870229	0	150	4|4	Metal	Some											
0229_ridingonthewind	1.253982046	99.27536232	B	0.5338078292	0	3.202846975	14.28571429	180	4|4	Rock	Some											
0230_ridininmychevy	1.854620646	100	A	95.65217391	96.21212121	99.62264151	100	75	4|4	Hip-Hop												
0231_rightthurr	3.358467506	100	A	95.35864979	95	0	0	92	4|4	Hip-Hop												
0232_ringoffire2	2.122032485	100	A	98.98989899	100	96.29005059	96.6442953	112	2|4	Country												
0233_rocknrollnightmare	1.474716504	97.56097561	B	99.59100205	38.52459016	72.24489796	8.196721311	155	4|4	Metal	Some											
0234_roundandround	2.186781257	100	A	99.41690962	0	99.41860465	0	128	4|4	Pop												
0235_rudeboy	2.606263967	100	A	92.64705882	94.11764706	0	0	87	4|4	Pop												
0236_rumpshaker	3.296246681	100	A	98.4063745	98.38709677	98.98580122	99.18032787	103	4|4	Hip-Hop												
0237_run	1.694742747	100	A	98.17232376	100	53.92670157	54.16666667	149	4|4	Pop												
0238_sambadejaneiro	2.155468601	100	A	100	100	93.41317365	100	132	4|4	Dance/Electronic												
0239_sandm	2.699589946	100	A	99.0881459	100	99.39393939	0	128	4|4	Pop												
0240_sandstorm	1.508543131	100	A	96.67774086	96.05263158	0	0	136	4|4	Dance/Electronic												
0241_satellite	1.770573901	100	A	0	0	99.8015873	99.20634921	95	4|4													
0242_satisfaction	2.601631938	100	A	92.95302013	92	93.2885906	0	130	4|4	Dance/Electronic												
0243_saucyjack	2.43188494	100	A	91.14583333	47.05882353	89.0080429	45.09803922	120	4|4	Metal	Some											
0244_sayaah	3.035038102	100	A	95.89041096	96.36363636	0	0	93	4|4	Pop												
0245_sayhey	1.794005061	100	A	0	0	99.58246347	99.16666667	93	4|4	Reggaeton												
0246_scenario	1.8648358	100	A	99.76415094	99.05660377	96.21301775	70	101	4|4	Hip-Hop												
0247_scream	2.66920162	100	A	98.76923077	100	99.38271605	100	128	4|4	Pop												
0248_screamingfor	1.21981425	98.88475836	B	55.45112782	6.060606061	55.34709193	28.03030303	237	4|4	Metal	Some											
0249_sensualseduction	3.033087424	100	A	99.35622318	100	86.69527897	86.20689655	120	4|4	Hip-Hop												
0250_sexyandiknowit	1.842658426	100	A	99.1202346	100	97.48148148	97.05882353	130	4|4	Dance/Electronic												
0251_sexychick	2.614340265	100	A	98.52071006	98.82352941	99.40828402	97.6744186	130	4|4	Pop												
0252_silver	2.665906003	0	D	0	97.26027397	0	97.2972973	87	3|4	Alternative												
0253_sinsofmyyouth	1.967416834	98.66666667	B	94.53924915	93.87755102	90.10238908	89.18918919	161	4|4	Rock												
0254_sixsixsix	0.64515287	77.41935484	C	75.29239766	28.07017544	3.539823009	1.282051282	148	4|4	Metal	Some											
0255_sleepwalker	0.8502965034	90.73359073	C	78.55805243	31.92307692	50.56179775	48.85496183	174	4|4	Metal	Some											
0256_snoopsupsideyahead	3.137860973	100	A	99.12087912	99.11504425	99.22992299	99.11504425	101	4|4	Hip-Hop												
